"","statn","inc_cnt","out_cnt","tot_cnt","inc_perc","out_perc","lng","lat"
"1",3,9260,9734,18994,48.75,51.25,-71.100812,42.340021
"2",4,17472,18057,35529,49.18,50.82,-71.069616,42.345392
"3",5,11058,10630,21688,50.99,49.01,-71.090179,42.341814
"4",6,22655,23322,45977,49.27,50.73,-71.06514,42.361285
"5",7,8883,9163,18046,49.22,50.78,-71.044624,42.353412
"6",8,8075,7570,15645,51.61,48.39,-71.137313,42.353334
"7",9,18475,17180,35655,51.82,48.18,-71.116174,42.351313
"8",10,17777,16159,33936,52.38,47.62,-71.105884,42.350075
"9",11,12029,12393,24422,49.25,50.75,-71.1065,42.338629
"10",12,11542,10456,21998,52.47,47.53,-71.088496,42.335911
"11",13,4208,3798,8006,52.56,47.44,-71.07403,42.334057
"12",14,15026,15738,30764,48.84,51.16,-71.102797,42.337171
"13",15,6012,5163,11175,53.8,46.2,-71.13802,42.361667
"14",16,29665,32859,62524,47.45,52.55,-71.076163,42.347433
"15",17,10974,11500,22474,48.83,51.17,-71.119581,42.365074
"16",18,6831,6671,13502,50.59,49.41,-71.129791,42.36337
"17",19,6773,6557,13330,50.81,49.19,-71.105828,42.347527
"18",20,22824,24473,47297,48.26,51.74,-71.051601,42.35977
"19",21,26524,25550,52074,50.94,49.06,-71.082578,42.345959
"20",22,56280,56442,112722,49.93,50.07,-71.055547,42.352175
"21",23,9843,11024,20867,47.17,52.83,-71.059364,42.359677
"22",24,16455,16128,32583,50.5,49.5,-71.045461,42.351821
"23",25,17420,19433,36853,47.27,52.73,-71.076847,42.341332
"24",26,18713,18577,37290,50.18,49.82,-71.068922,42.341522
"25",27,7858,7734,15592,50.4,49.6,-71.094734,42.331567
"26",29,4925,4815,9740,50.56,49.44,-71.124565,42.363732
"27",30,10034,9932,19966,50.26,49.74,-71.105221,42.334073
"28",31,13389,12491,25880,51.73,48.27,-71.041747,42.348833
"29",32,20965,20431,41396,50.64,49.36,-71.102221,42.343912
"30",33,32246,31077,63323,50.92,49.08,-71.096831,42.349046
"31",34,5243,5061,10304,50.88,49.12,-71.099855,42.346171
"32",35,9242,9634,18876,48.96,51.04,-71.05896,42.354594
"33",36,43387,42568,85955,50.48,49.52,-71.077303,42.349673
"34",37,1433,1145,2578,55.59,44.41,-71.146452,42.357247
"35",38,21630,21216,42846,50.48,49.52,-71.060868,42.366231
"36",39,21666,22082,43748,49.52,50.48,-71.074182,42.338623
"37",40,24747,26020,50767,48.75,51.25,-71.050877,42.363871
"38",41,16189,16238,32427,49.92,50.08,-71.123831,42.352261
"39",42,34916,32795,67711,51.57,48.43,-71.070378,42.352096
"40",43,27738,26052,53790,51.57,48.43,-71.050699,42.357143
"41",44,18278,19010,37288,49.02,50.98,-71.056868,42.360583
"42",45,20277,20100,40377,50.22,49.78,-71.09788,42.344763
"43",46,23476,23662,47138,49.8,50.2,-71.085918,42.343864
"44",47,25655,26818,52473,48.89,51.11,-71.056067,42.362811
"45",48,24580,22982,47562,51.68,48.32,-71.055407,42.356755
"46",49,19010,18428,37438,50.78,49.22,-71.066289,42.351146
"47",50,21777,21076,42853,50.82,49.18,-71.073644,42.350989
"48",51,4395,4092,8487,51.79,48.21,-71.0790969,42.3348756
"49",52,27222,26978,54200,50.23,49.77,-71.085954,42.348717
"50",53,33369,35438,68807,48.5,51.5,-71.089886,42.350851
"51",54,24242,24549,48791,49.69,50.31,-71.063348,42.354979
"52",55,22452,22553,45005,49.89,50.11,-71.088088,42.347265
"53",56,2398,2221,4619,51.92,48.08,-71.0833545,42.3281898
"54",57,16339,17890,34229,47.73,52.27,-71.081572,42.340799
"55",58,26356,28285,54641,48.23,51.77,-71.07278,42.355596
"56",59,13714,13293,27007,50.78,49.22,-71.059367,42.351356
"57",60,13735,13571,27306,50.3,49.7,-71.07131,42.360877
"58",61,8771,8848,17619,49.78,50.22,-71.082674,42.348323
