"","strt_statn","end_statn","cnt","strtLng","strtLat","endLng","endLat"
"1",3,3,472,-71.100812,42.340021,-71.100812,42.340021
"2",3,4,347,-71.100812,42.340021,-71.069616,42.345392
"4",3,5,536,-71.100812,42.340021,-71.090179,42.341814
"7",3,6,202,-71.100812,42.340021,-71.06514,42.361285
"11",3,7,6,-71.100812,42.340021,-71.044624,42.353412
"16",3,8,120,-71.100812,42.340021,-71.137313,42.353334
"22",3,9,184,-71.100812,42.340021,-71.116174,42.351313
"29",3,10,138,-71.100812,42.340021,-71.105884,42.350075
"37",3,11,476,-71.100812,42.340021,-71.1065,42.338629
"46",3,12,942,-71.100812,42.340021,-71.088496,42.335911
"56",3,13,84,-71.100812,42.340021,-71.07403,42.334057
"67",3,14,1074,-71.100812,42.340021,-71.102797,42.337171
"79",3,15,28,-71.100812,42.340021,-71.13802,42.361667
"92",3,16,634,-71.100812,42.340021,-71.076163,42.347433
"106",3,17,65,-71.100812,42.340021,-71.119581,42.365074
"121",3,18,42,-71.100812,42.340021,-71.129791,42.36337
"137",3,19,154,-71.100812,42.340021,-71.105828,42.347527
"154",3,20,33,-71.100812,42.340021,-71.051601,42.35977
"172",3,21,803,-71.100812,42.340021,-71.082578,42.345959
"191",3,22,232,-71.100812,42.340021,-71.055547,42.352175
"211",3,23,33,-71.100812,42.340021,-71.059364,42.359677
"232",3,24,20,-71.100812,42.340021,-71.045461,42.351821
"254",3,25,778,-71.100812,42.340021,-71.076847,42.341332
"277",3,26,304,-71.100812,42.340021,-71.068922,42.341522
"301",3,27,172,-71.100812,42.340021,-71.094734,42.331567
"326",3,29,11,-71.100812,42.340021,-71.124565,42.363732
"352",3,30,353,-71.100812,42.340021,-71.105221,42.334073
"379",3,31,13,-71.100812,42.340021,-71.041747,42.348833
"407",3,32,765,-71.100812,42.340021,-71.102221,42.343912
"436",3,33,310,-71.100812,42.340021,-71.096831,42.349046
"466",3,34,155,-71.100812,42.340021,-71.099855,42.346171
"497",3,35,32,-71.100812,42.340021,-71.05896,42.354594
"529",3,36,814,-71.100812,42.340021,-71.077303,42.349673
"562",3,37,14,-71.100812,42.340021,-71.146452,42.357247
"595",3,38,210,-71.100812,42.340021,-71.060868,42.366231
"630",3,39,288,-71.100812,42.340021,-71.074182,42.338623
"666",3,40,87,-71.100812,42.340021,-71.050877,42.363871
"703",3,41,371,-71.100812,42.340021,-71.123831,42.352261
"741",3,42,256,-71.100812,42.340021,-71.070378,42.352096
"780",3,43,15,-71.100812,42.340021,-71.050699,42.357143
"820",3,44,55,-71.100812,42.340021,-71.056868,42.360583
"861",3,45,499,-71.100812,42.340021,-71.09788,42.344763
"903",3,46,730,-71.100812,42.340021,-71.085918,42.343864
"946",3,47,32,-71.100812,42.340021,-71.056067,42.362811
"990",3,48,71,-71.100812,42.340021,-71.055407,42.356755
"1035",3,49,137,-71.100812,42.340021,-71.066289,42.351146
"1081",3,50,166,-71.100812,42.340021,-71.073644,42.350989
"1128",3,51,76,-71.100812,42.340021,-71.0790969,42.3348756
"1176",3,52,401,-71.100812,42.340021,-71.085954,42.348717
"1225",3,53,292,-71.100812,42.340021,-71.089886,42.350851
"1275",3,54,107,-71.100812,42.340021,-71.063348,42.354979
"1326",3,55,578,-71.100812,42.340021,-71.088088,42.347265
"1378",3,56,85,-71.100812,42.340021,-71.0833545,42.3281898
"1431",3,57,334,-71.100812,42.340021,-71.081572,42.340799
"1485",3,58,153,-71.100812,42.340021,-71.07278,42.355596
"1540",3,59,79,-71.100812,42.340021,-71.059367,42.351356
"1596",3,60,94,-71.100812,42.340021,-71.07131,42.360877
"1653",3,61,106,-71.100812,42.340021,-71.082674,42.348323
"1711",3,62,154,-71.100812,42.340021,-71.109927,42.340299
"1770",3,63,142,-71.100812,42.340021,-71.057054,42.344023
"1829",3,64,14,-71.100812,42.340021,-71.0496,42.3511
"1890",3,65,17,-71.100812,42.340021,-71.0441,42.3475
"1951",3,66,116,-71.100812,42.340021,-71.13401,42.348607
"2014",3,67,169,-71.100812,42.340021,-71.093198,42.3581
"2078",3,68,95,-71.100812,42.340021,-71.1031,42.36507
"2143",3,69,196,-71.100812,42.340021,-71.123338,42.341598
"2208",3,70,35,-71.100812,42.340021,-71.121851,42.372244
"2273",3,71,2,-71.100812,42.340021,-71.107593,42.383405
"2333",3,72,13,-71.100812,42.340021,-71.084105,42.362613
"2402",3,73,21,-71.100812,42.340021,-71.120886,42.373231
"2471",3,74,115,-71.100812,42.340021,-71.118579,42.373268
"2542",3,75,117,-71.100812,42.340021,-71.10042,42.363562
"2614",3,76,47,-71.100812,42.340021,-71.105495,42.366426
"2687",3,77,2,-71.100812,42.340021,-71.096413,42.386428
"2748",3,78,18,-71.100812,42.340021,-71.095319,42.379637
"2822",3,79,12,-71.100812,42.340021,-71.106541,42.378551
"2893",3,80,62,-71.100812,42.340021,-71.090188,42.362429
"2970",3,81,62,-71.100812,42.340021,-71.062679,42.352409
"3048",3,82,5,-71.100812,42.340021,-71.120526,42.333689
"3113",3,83,18,-71.100812,42.340021,-71.065928,42.325941
"3187",3,84,22,-71.100812,42.340021,-71.076472,42.366981
"3329",3,86,100,-71.100812,42.340021,-71.116205,42.332799
"3409",3,87,40,-71.100812,42.340021,-71.114214,42.366621
"3482",3,88,45,-71.100812,42.340021,-71.101427,42.374035
"3561",3,89,13,-71.100812,42.340021,-71.119945,42.379011
"3641",3,90,20,-71.100812,42.340021,-71.07711,42.3707
"3722",3,91,56,-71.100812,42.340021,-71.09169,42.366277
"3807",3,92,4,-71.100812,42.340021,-71.035705,42.311819
"3860",3,93,9,-71.100812,42.340021,-71.051122,42.320494
"3934",3,94,10,-71.100812,42.340021,-71.064608,42.375603
"4018",3,95,20,-71.100812,42.340021,-71.094445,42.372969
"4104",3,96,12,-71.100812,42.340021,-71.111075,42.373379
"4192",3,97,3,-71.100812,42.340021,-71.117152,42.369182
"4249",3,98,14,-71.100812,42.340021,-71.060292,42.371848
"4340",3,99,18,-71.100812,42.340021,-71.057629,42.35892
"4425",3,100,12,-71.100812,42.340021,-71.084198,42.328654
"4495",3,101,9,-71.100812,42.340021,-71.100694,42.345733
"4566",3,102,159,-71.100812,42.340021,-71.073089,42.336437
"4651",3,103,158,-71.100812,42.340021,-71.082383,42.348762
"4740",3,104,12,-71.100812,42.340021,-71.057044,42.330716
"4879",3,106,2,-71.100812,42.340021,-71.045859,42.335693
"5004",3,108,5,-71.100812,42.340021,-71.06198,42.320561
"5062",3,110,3,-71.100812,42.340021,-71.145442,42.356975
"5144",3,111,51,-71.100812,42.340021,-71.059914,42.366222
