"","statn","path_id","cnt","lat","long"
"1",3,"3_106",1,-71.100812,42.340021
"2",106,"3_106",1,-71.045859,42.335693
"3",3,"3_119",1,-71.100812,42.340021
"4",119,"3_119",1,-71.07655,42.350413
"5",3,"3_130",1,-71.100812,42.340021
"6",130,"3_130",1,-71.114025,42.376369
"7",3,"3_133",1,-71.100812,42.340021
"8",133,"3_133",1,-71.125107,42.380287
"9",3,"3_136",1,-71.100812,42.340021
"10",136,"3_136",1,-71.086388,42.366095
"11",3,"3_138",1,-71.100812,42.340021
"12",138,"3_138",1,-71.113341,42.385582
"13",3,"3_141",1,-71.100812,42.340021
"14",141,"3_141",1,-71.116772,42.400877
"15",4,"4_37",1,-71.069616,42.345392
"16",37,"4_37",1,-71.146452,42.357247
"17",4,"4_71",1,-71.069616,42.345392
"18",71,"4_71",1,-71.107593,42.383405
"19",4,"4_82",1,-71.069616,42.345392
"20",82,"4_82",1,-71.120526,42.333689
"21",4,"4_97",1,-71.069616,42.345392
"22",97,"4_97",1,-71.117152,42.369182
"23",4,"4_101",1,-71.069616,42.345392
"24",101,"4_101",1,-71.100694,42.345733
"25",4,"4_110",1,-71.069616,42.345392
"26",110,"4_110",1,-71.145442,42.356975
"27",4,"4_118",1,-71.069616,42.345392
"28",118,"4_118",1,-71.056605,42.377022
"29",4,"4_130",1,-71.069616,42.345392
"30",130,"4_130",1,-71.114025,42.376369
"31",4,"4_134",1,-71.069616,42.345392
"32",134,"4_134",1,-71.130516,42.397828
"33",4,"4_138",1,-71.069616,42.345392
"34",138,"4_138",1,-71.113341,42.385582
"35",4,"4_NA",1,-71.069616,42.345392
"36",NA,"4_NA",1,NA,NA
"37",5,"5_119",1,-71.090179,42.341814
"38",119,"5_119",1,-71.07655,42.350413
"39",5,"5_120",1,-71.090179,42.341814
"40",120,"5_120",1,-71.115645,42.309467
"41",5,"5_121",1,-71.090179,42.341814
"42",121,"5_121",1,-71.114175,42.31309
"43",5,"5_122",1,-71.090179,42.341814
"44",122,"5_122",1,-71.110833,42.320998
"45",5,"5_140",1,-71.090179,42.341814
"46",140,"5_140",1,-71.112708,42.400146
"47",6,"6_82",1,-71.06514,42.361285
"48",82,"6_82",1,-71.120526,42.333689
"49",6,"6_92",1,-71.06514,42.361285
"50",92,"6_92",1,-71.035705,42.311819
"51",6,"6_97",1,-71.06514,42.361285
"52",97,"6_97",1,-71.117152,42.369182
"53",6,"6_101",1,-71.06514,42.361285
"54",101,"6_101",1,-71.100694,42.345733
"55",6,"6_105",1,-71.06514,42.361285
"56",105,"6_105",1,-71.075354,42.325333
"57",6,"6_124",1,-71.06514,42.361285
"58",124,"6_124",1,-71.107341,42.310579
"59",6,"6_144",1,-71.06514,42.361285
"60",144,"6_144",1,-71.126908,42.402763
"61",6,"6_145",1,-71.06514,42.361285
"62",145,"6_145",1,-71.120406,42.394002
"63",7,"7_18",1,-71.044624,42.353412
"64",18,"7_18",1,-71.129791,42.36337
"65",7,"7_19",1,-71.044624,42.353412
"66",19,"7_19",1,-71.105828,42.347527
"67",7,"7_34",1,-71.044624,42.353412
"68",34,"7_34",1,-71.099855,42.346171
"69",7,"7_37",1,-71.044624,42.353412
"70",37,"7_37",1,-71.146452,42.357247
"71",7,"7_62",1,-71.044624,42.353412
"72",62,"7_62",1,-71.109927,42.340299
"73",7,"7_73",1,-71.044624,42.353412
"74",73,"7_73",1,-71.120886,42.373231
"75",7,"7_79",1,-71.044624,42.353412
"76",79,"7_79",1,-71.106541,42.378551
"77",7,"7_91",1,-71.044624,42.353412
"78",91,"7_91",1,-71.09169,42.366277
"79",7,"7_100",1,-71.044624,42.353412
"80",100,"7_100",1,-71.084198,42.328654
"81",7,"7_119",1,-71.044624,42.353412
"82",119,"7_119",1,-71.07655,42.350413
"83",7,"7_129",1,-71.044624,42.353412
"84",129,"7_129",1,-71.118201,42.369832
"85",7,"7_130",1,-71.044624,42.353412
"86",130,"7_130",1,-71.114025,42.376369
"87",7,"7_133",1,-71.044624,42.353412
"88",133,"7_133",1,-71.125107,42.380287
"89",7,"7_136",1,-71.044624,42.353412
"90",136,"7_136",1,-71.086388,42.366095
"91",8,"8_83",1,-71.137313,42.353334
"92",83,"8_83",1,-71.065928,42.325941
"93",8,"8_93",1,-71.137313,42.353334
"94",93,"8_93",1,-71.051122,42.320494
"95",8,"8_96",1,-71.137313,42.353334
"96",96,"8_96",1,-71.111075,42.373379
"97",8,"8_104",1,-71.137313,42.353334
"98",104,"8_104",1,-71.057044,42.330716
"99",8,"8_106",1,-71.137313,42.353334
"100",106,"8_106",1,-71.045859,42.335693
"101",8,"8_107",1,-71.137313,42.353334
"102",107,"8_107",1,-71.03877,42.335741
"103",8,"8_116",1,-71.137313,42.353334
"104",116,"8_116",1,-71.069849,42.356052
"105",8,"8_143",1,-71.137313,42.353334
"106",143,"8_143",1,-71.10942,42.39082
"107",8,"8_144",1,-71.137313,42.353334
"108",144,"8_144",1,-71.126908,42.402763
"109",8,"8_145",1,-71.137313,42.353334
"110",145,"8_145",1,-71.120406,42.394002
"111",9,"9_105",1,-71.116174,42.351313
"112",105,"9_105",1,-71.075354,42.325333
"113",9,"9_141",1,-71.116174,42.351313
"114",141,"9_141",1,-71.116772,42.400877
"115",9,"9_144",1,-71.116174,42.351313
"116",144,"9_144",1,-71.126908,42.402763
"117",10,"10_85",1,-71.105884,42.350075
"118",85,"10_85",1,-71.057007,42.330825
"119",10,"10_106",1,-71.105884,42.350075
"120",106,"10_106",1,-71.045859,42.335693
