"","strt_statn","end_statn","cnt","strtLng","strtLat","endLng","endLat"
"1",3,106,1,-71.100812,42.340021,-71.045859,42.335693
"2",3,119,1,-71.100812,42.340021,-71.07655,42.350413
"3",3,130,1,-71.100812,42.340021,-71.114025,42.376369
"4",3,133,1,-71.100812,42.340021,-71.125107,42.380287
"5",3,136,1,-71.100812,42.340021,-71.086388,42.366095
"6",3,138,1,-71.100812,42.340021,-71.113341,42.385582
"7",3,141,1,-71.100812,42.340021,-71.116772,42.400877
"8",4,37,1,-71.069616,42.345392,-71.146452,42.357247
"9",4,71,1,-71.069616,42.345392,-71.107593,42.383405
"10",4,82,1,-71.069616,42.345392,-71.120526,42.333689
"11",4,97,1,-71.069616,42.345392,-71.117152,42.369182
"12",4,101,1,-71.069616,42.345392,-71.100694,42.345733
"13",4,110,1,-71.069616,42.345392,-71.145442,42.356975
"14",4,118,1,-71.069616,42.345392,-71.056605,42.377022
"15",4,130,1,-71.069616,42.345392,-71.114025,42.376369
"16",4,134,1,-71.069616,42.345392,-71.130516,42.397828
"17",4,138,1,-71.069616,42.345392,-71.113341,42.385582
"18",5,119,1,-71.090179,42.341814,-71.07655,42.350413
"19",5,120,1,-71.090179,42.341814,-71.115645,42.309467
"20",5,121,1,-71.090179,42.341814,-71.114175,42.31309
"21",5,122,1,-71.090179,42.341814,-71.110833,42.320998
"22",5,140,1,-71.090179,42.341814,-71.112708,42.400146
"23",6,82,1,-71.06514,42.361285,-71.120526,42.333689
"24",6,92,1,-71.06514,42.361285,-71.035705,42.311819
"25",6,97,1,-71.06514,42.361285,-71.117152,42.369182
"26",6,101,1,-71.06514,42.361285,-71.100694,42.345733
"27",6,105,1,-71.06514,42.361285,-71.075354,42.325333
"28",6,124,1,-71.06514,42.361285,-71.107341,42.310579
"29",6,144,1,-71.06514,42.361285,-71.126908,42.402763
"30",6,145,1,-71.06514,42.361285,-71.120406,42.394002
"31",7,18,1,-71.044624,42.353412,-71.129791,42.36337
"32",7,19,1,-71.044624,42.353412,-71.105828,42.347527
"33",7,34,1,-71.044624,42.353412,-71.099855,42.346171
"34",7,37,1,-71.044624,42.353412,-71.146452,42.357247
"35",7,62,1,-71.044624,42.353412,-71.109927,42.340299
"36",7,73,1,-71.044624,42.353412,-71.120886,42.373231
"37",7,79,1,-71.044624,42.353412,-71.106541,42.378551
"38",7,91,1,-71.044624,42.353412,-71.09169,42.366277
"39",7,100,1,-71.044624,42.353412,-71.084198,42.328654
"40",7,119,1,-71.044624,42.353412,-71.07655,42.350413
